unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596481200000,2020-08-03 19:00:00,ETH/USDT,395.53,395.55,391.20,394.04,87302.701,34320181.40336,21203
1596484800000,2020-08-03 20:00:00,ETH/USDT,394.05,395.16,389.53,390.97,80834.043,31683419.20978,21875
1596488400000,2020-08-03 21:00:00,ETH/USDT,390.97,393.50,380.66,384.66,141822.262,55125155.52078,33332
1596492000000,2020-08-03 22:00:00,ETH/USDT,384.45,390.84,380.00,383.91,171592.970,66277450.77533,38546
1596495600000,2020-08-03 23:00:00,ETH/USDT,383.91,387.40,380.02,386.20,124601.368,47853017.54588,29685
1596499200000,2020-08-04 00:00:00,ETH/USDT,386.19,403.88,386.15,400.88,291420.437,115645326.65402,66859
1596502800000,2020-08-04 01:00:00,ETH/USDT,400.87,401.93,397.28,398.32,131507.862,52549442.91882,31457
1596506400000,2020-08-04 02:00:00,ETH/USDT,398.33,400.27,392.09,393.81,138117.615,54765012.71779,30085
1596510000000,2020-08-04 03:00:00,ETH/USDT,393.79,395.70,387.00,391.65,166359.043,65135523.51959,38541
1596513600000,2020-08-04 04:00:00,ETH/USDT,391.53,394.92,388.80,394.04,114737.529,45020016.04518,26855
1596517200000,2020-08-04 05:00:00,ETH/USDT,394.04,395.25,390.77,393.34,75953.894,29832653.86737,18666
1596520800000,2020-08-04 06:00:00,ETH/USDT,393.33,393.62,389.21,391.37,61602.032,24120232.12866,15840
1596524400000,2020-08-04 07:00:00,ETH/USDT,391.38,396.24,390.97,395.21,86054.568,33940316.31459,18368
1596528000000,2020-08-04 08:00:00,ETH/USDT,395.15,397.90,391.41,391.90,120249.802,47523845.61621,26231
1596531600000,2020-08-04 09:00:00,ETH/USDT,391.92,393.38,391.03,392.71,60421.682,23710256.99035,19013
1596535200000,2020-08-04 10:00:00,ETH/USDT,392.69,395.20,390.15,391.49,87116.998,34204130.73444,22422
1596538800000,2020-08-04 11:00:00,ETH/USDT,391.50,394.70,380.66,386.22,269746.338,104672851.22774,56236
1596542400000,2020-08-04 12:00:00,ETH/USDT,386.24,389.46,384.49,388.58,130989.032,50803567.84359,32859
1596546000000,2020-08-04 13:00:00,ETH/USDT,388.58,388.75,381.19,384.55,208273.532,80120718.38920,47403
1596549600000,2020-08-04 14:00:00,ETH/USDT,384.58,390.80,384.53,389.97,115213.468,44693254.46501,28449
1596553200000,2020-08-04 15:00:00,ETH/USDT,389.98,392.19,388.03,390.57,112238.623,43823892.93155,28114
1596556800000,2020-08-04 16:00:00,ETH/USDT,390.67,393.45,385.80,387.17,126339.095,49150530.88434,32158
1596560400000,2020-08-04 17:00:00,ETH/USDT,387.18,390.73,386.55,390.28,64516.714,25081536.63788,17261
1596564000000,2020-08-04 18:00:00,ETH/USDT,390.27,391.21,387.01,387.91,51891.056,20183667.52546,16704
1596567600000,2020-08-04 19:00:00,ETH/USDT,387.93,389.44,385.65,387.15,48534.806,18812161.07616,16403
1596571200000,2020-08-04 20:00:00,ETH/USDT,387.16,391.00,387.12,388.40,53378.188,20794206.20756,16338
1596574800000,2020-08-04 21:00:00,ETH/USDT,388.41,393.21,387.52,391.99,50803.218,19840794.68296,14340
1596578400000,2020-08-04 22:00:00,ETH/USDT,391.95,393.50,390.63,393.40,59171.550,23195812.78915,15355
1596582000000,2020-08-04 23:00:00,ETH/USDT,393.49,394.51,388.00,390.10,77516.182,30340395.89274,18560
1596585600000,2020-08-05 00:00:00,ETH/USDT,390.02,392.56,385.81,388.93,91205.426,35477534.76681,22508
1596589200000,2020-08-05 01:00:00,ETH/USDT,388.94,389.30,384.31,388.96,77725.400,30086927.57910,19633
1596592800000,2020-08-05 02:00:00,ETH/USDT,388.96,389.50,386.58,388.21,50558.760,19622327.31790,13698
1596596400000,2020-08-05 03:00:00,ETH/USDT,388.21,390.20,387.69,389.89,41961.065,16326226.40732,14499
1596600000000,2020-08-05 04:00:00,ETH/USDT,389.85,391.00,388.00,388.90,45236.462,17605689.40637,13511
1596603600000,2020-08-05 05:00:00,ETH/USDT,388.92,392.00,387.57,391.95,43114.887,16799871.87809,13849
1596607200000,2020-08-05 06:00:00,ETH/USDT,391.97,394.50,390.76,390.77,99590.580,39125739.93897,22179
1596610800000,2020-08-05 07:00:00,ETH/USDT,390.77,392.58,389.83,390.53,48027.759,18791835.46207,12327
1596614400000,2020-08-05 08:00:00,ETH/USDT,390.58,392.50,389.50,391.00,53219.057,20814630.55543,14731
1596618000000,2020-08-05 09:00:00,ETH/USDT,391.03,394.50,390.84,393.73,71898.646,28247107.92213,18617
1596621600000,2020-08-05 10:00:00,ETH/USDT,393.76,394.18,391.74,393.19,56643.351,22249422.62598,20482
1596625200000,2020-08-05 11:00:00,ETH/USDT,393.18,398.50,393.14,398.07,149043.006,59114643.49340,37573
1596628800000,2020-08-05 12:00:00,ETH/USDT,398.03,400.94,395.80,399.68,170243.658,67832115.21635,41745
1596632400000,2020-08-05 13:00:00,ETH/USDT,399.69,402.11,397.72,399.58,148206.533,59256586.80619,36053
1596636000000,2020-08-05 14:00:00,ETH/USDT,399.58,400.00,390.37,394.92,191743.926,75830726.48737,41780
1596639600000,2020-08-05 15:00:00,ETH/USDT,394.90,397.50,393.30,395.49,95310.448,37729034.28432,25375
1596643200000,2020-08-05 16:00:00,ETH/USDT,395.49,403.00,394.15,396.85,185487.659,73895397.57041,48117
1596646800000,2020-08-05 17:00:00,ETH/USDT,396.81,398.59,395.21,397.88,56099.450,22271630.55351,19121
1596650400000,2020-08-05 18:00:00,ETH/USDT,397.88,399.32,396.86,397.97,36930.798,14694545.62291,14623
1596654000000,2020-08-05 19:00:00,ETH/USDT,398.00,401.00,397.95,399.14,67427.401,26948240.88024,22252
1596657600000,2020-08-05 20:00:00,ETH/USDT,399.14,401.88,398.20,400.65,46050.644,18435436.59031,19125
1596661200000,2020-08-05 21:00:00,ETH/USDT,400.65,407.88,399.80,405.90,155717.418,62988142.87441,48060
1596664800000,2020-08-05 22:00:00,ETH/USDT,405.92,406.05,386.00,397.18,305302.329,121398899.16181,65056
1596668400000,2020-08-05 23:00:00,ETH/USDT,397.18,402.50,396.95,400.95,91445.800,36583965.38599,22875
1596672000000,2020-08-06 00:00:00,ETH/USDT,400.94,404.25,398.51,399.85,120586.941,48399083.72275,31604
1596675600000,2020-08-06 01:00:00,ETH/USDT,399.80,399.82,396.64,398.00,66031.666,26304555.11890,19408
1596679200000,2020-08-06 02:00:00,ETH/USDT,397.99,398.20,395.09,398.15,57335.903,22751449.74486,17775
1596682800000,2020-08-06 03:00:00,ETH/USDT,398.11,398.15,395.19,395.72,43280.342,17156262.43980,14009
1596686400000,2020-08-06 04:00:00,ETH/USDT,395.72,395.99,392.68,394.60,88824.911,35031712.53802,25377
1596690000000,2020-08-06 05:00:00,ETH/USDT,394.57,396.40,393.17,395.05,56502.382,22308547.52483,17105
1596693600000,2020-08-06 06:00:00,ETH/USDT,395.10,397.58,394.61,397.25,49397.882,19583846.95753,14974
1596697200000,2020-08-06 07:00:00,ETH/USDT,397.20,397.50,394.75,395.26,36905.456,14617610.23120,13779
1596700800000,2020-08-06 08:00:00,ETH/USDT,395.25,398.14,394.75,397.89,56107.646,22269600.03114,16996
1596704400000,2020-08-06 09:00:00,ETH/USDT,397.85,398.44,396.42,396.99,42756.150,16991498.64471,15556
1596708000000,2020-08-06 10:00:00,ETH/USDT,396.97,397.04,393.67,394.10,58140.597,22979081.01100,18522
1596711600000,2020-08-06 11:00:00,ETH/USDT,394.13,396.33,393.69,394.95,44096.293,17429081.58281,15182
1596715200000,2020-08-06 12:00:00,ETH/USDT,394.99,397.83,394.67,397.17,52078.004,20657981.90905,17673
1596718800000,2020-08-06 13:00:00,ETH/USDT,397.12,400.30,396.02,399.86,105007.083,41868888.01300,27158
1596722400000,2020-08-06 14:00:00,ETH/USDT,399.89,400.12,395.00,396.99,109691.960,43606824.03971,26590
